,Mobile,Price,Rating
0,"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)",8999,4.0
1,"Redmi 9 Power (Blazing Blue, 4GB RAM, 64GB Storage) - 6000mAh Battery | 48MP Quad Camera",10999,3.7
2,"Redmi 9A (Sea Blue, 2GB Ram, 32GB Storage)",6999,4.2
3,"Redmi 9A (Nature Green, 3GB Ram, 32GB Storage)",7499,4.2
4,"Redmi Note 9 Pro (Aurora Blue, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free",12999,4.2
5,"Redmi 9A (Nature Green, 2GB Ram, 32GB Storage)",6999,4.2
6,Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery | 48MP Quad Camera,10999,3.7
7,"Redmi 9A (Midnight Black, 2GB RAM, 32GB Storage)",6999,4.2
8,"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free",12999,4.2
9,"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)",13999,4.2
10,"Redmi 9 Power (Electric Green, 4GB RAM, 64GB Storage) - 6000mAh Battery | 48MP Quad Camera",10999,3.7
11,"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage)",8999,4.0
12,"Redmi Note 9 Pro Max (Interstellar Black, 6GB RAM, 64GB Storage) - 64MP Quad Camera & Alexa Hands-Free",14999,4.1
13,"Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",11990,4.0
14,"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",11990,4.0
15,"Redmi 9 Prime (Mint Green, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera",9499,4.2
16,"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)",13999,4.2
