,Mobile,Price,Rating
0,"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)",8999,4.0
1,"Redmi 9 Power (Blazing Blue, 4GB RAM, 64GB Storage) - 6000mAh Battery | 48MP Quad Camera",10999,3.7
2,"Samsung Galaxy M31 Prime Edition (Space Black, 6GB RAM, 128GB Storage)",16499,4.2
3,"Redmi 9A (Sea Blue, 2GB Ram, 32GB Storage)",6999,4.2
4,"Redmi Note 9 Pro (Aurora Blue, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free",12999,4.2
5,"Redmi 9A (Nature Green, 3GB Ram, 32GB Storage)",7499,4.2
6,"Redmi Note 9 Pro Max (Aurora Blue, 6GB RAM, 64GB Storage)- 64MP Quad Camera & Alexa Hands-Free",14999,4.1
7,Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery | 48MP Quad Camera,10999,3.7
8,"Redmi 9A (Nature Green, 2GB Ram, 32GB Storage)",6999,4.2
9,"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)",13999,4.2
10,"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free",12999,4.2
11,"Redmi 9A (Midnight Black, 2GB RAM, 32GB Storage)",6999,4.2
12,"Redmi 9 Power (Electric Green, 4GB RAM, 64GB Storage) - 6000mAh Battery | 48MP Quad Camera",10999,3.7
13,"Redmi Note 9 Pro Max (Interstellar Black, 6GB RAM, 64GB Storage) - 64MP Quad Camera & Alexa Hands-Free",14999,4.1
14,"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage)",8999,4.0
15,"Oppo A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",11990,4.0
16,"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)",13999,4.2
17,"Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",11990,4.0
18,"Redmi 9 Prime (Mint Green, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera",9999,4.2
19,"Redmi Note 9 Pro Max (Aurora Blue, 6GB RAM, 128GB Storage) - 64MP Quad Camera & Latest 8nm Snapdragon 720G & Alexa Hands-Free",17499,4.1
20,"Samsung Galaxy M01 (Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",7499,3.9
21,"Samsung Galaxy M31s (Mirage Blue, 6GB RAM, 128GB Storage)",19499,4.3
22,"Samsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",5999,3.4
23,"Redmi 9 Power (Fiery Red, 4GB RAM, 64GB Storage) - 6000mAh Battery | 48MP Quad Camera",10999,3.7
